,name,ingridient
0,콩비지동그랑땡,['계란' '전분' '부침가루' '소금' '후추' '참기름' '밀가루' '배추' '호박' '대파' '다짐육' '콩비지' '다진마늘']
1,누드김밥,"['통깨' '마요네즈' '설탕' '식초' '두부' '소금' '참기름' '통깨' '김밥용김' '어린잎채소' '가지' '당근' '밥'
 '오이']"
2,쪽파 새우강회,['설탕' '통깨' '식초' '고추장' '소금' '쪽파' '중새우']
3,카레토마토달걀볶음밥,['양파' '방울토마토' '밥' '물' '셀러리' '후추' '햄' '달걀' '카레가루']
4,식빵고구마파이,['식빵' '마요네즈' '꿀' '달걀노른자' '우유' '고구마' '소금' '건블루베리']
5,배추만두,"['후추' '다진마늘' '들기름' '통깨' '소금' '버섯' '두부' '당면' '당근' '다짐육(소고기)' '다짐육(돼지고기)'
 '다진생강' '간장' '달걀' '미나리' '배추잎']"
6,당근잎 감자전,['부침가루' '양파' '감자' '당근채' '당근잎' '소금']
7,단호박 고등어조림,"['고춧가루' '들기름' '설탕' '다진마늘' '무' '양파' '단호박' '간장' '된장' '고추장' '쌀뜨물' '고등어'
 '청양고추' '홍고추']"
8,나물 월남쌈,['매실액' '통깨' '참기름' '고추' '라이스페이퍼' '연어살' '무채' '고사리' '도라지' '콩나물' '시금치']
9,애호박 구이,['애호박' '어린잎채소' '부침유' '간장' '맛술' '통깨' '다진마늘' '식초' '청양고추' '대파' '참기름' '올리브유']
10,오이보트카나페,"['양파' '단무지' '아몬드' '견과류' '마요네즈' '꿀' '허브솔트' '소금' '머드터드' '식초' '황설탕' '백오이'
 '참치캔' '삶은계란']"
11,가지두부스테이크,['아몬드' '다진고추' '매실액' '굴소스' '다진식파' '에멘탈 치즈가루' '두부' '가지' '굴소스']
12,깻잎장아찌,"['설탕' '통깨' '다진마늘' '고춧가루' '간장' '까나리액젓' '쪽파' '깻잎' '홍고추' '깻잎' '진간장' '고춧가루'
 '실고추' '마늘' '생강' '깨소금' '파']"
13,고추장아찌,['설탕' '물' '간장' '식초' '고추' '청고추' '물' '간장' '설탕' '소금' '생강']
14,민트라임모히또,['탄산수' '얼음' '설탕' '허브(민트)' '라임']
15,어린잎샌드위치,['슬라이스치즈' '마요네스' '슬라이스햄' '모닝빵' '토마토' '어린잎채소' '허니머스타드']
16,호박무침,['설탕' '통깨' '식초' '된장' '고춧가루' '대파' '청고추' '홍고추' '양파' '둥근호박']
17,가지무침과 호박잎쌈밥,['통깨' '양파' '쪽파' '다진마늘' '풋고추' '소금' '쌈장' '밥' '호박잎' '가지' '간장']
18,상추 치커리 오징어 초침무,['와사비' '후추' '설탕' '식초' '고추장' '오징어' '양파' '고추' '당근' '오이' '쑥갓' '치커리' '상추']
19,가지그라탕,['가지' '올리브오일' '후추' '소금' '파마산치즈가루' '양파' '토마토소스' '파슬리가루' '피자치즈' '다진마늘' '우유']
20,매운가지볶음,['가지' '양파' '홍고추' '청고추' '대파' '다진마늘' '고춧가루' '들기름' '간장' '소금' '후추']
21,고구마잎무침,['소금' '고구마잎' '다진마늘' '다진파' '깨소금' '참기름']
22,닭가슴살 호박말이,['후추' '허니머스타드' '소금' '마요네즈' '노각' '닭가슴살' '호박']
23,토마토미니새송이볶음,['다진마늘' '방울토마토' '미니새송이버섯' '다진쪽파' '바질' '소금' '올리브유']
24,오이동치미,['소금' '물' '파뿌리' '양파' '밥' '무' '깐밤' '소금' '오이' '노란 파프리카' '붉은 파프리카' '생강']
25,돛나물 부추 오이무침,['고추가루' '액젓' '매실액' '다진마늘' '돛나물' '부추' '오이' '양파']
26,가지말이구이,['소금' '사과' '가지' '소고기' '무순' '당근' '버섯' '버터']
27,바질페스토 스파게티,"['바질' '잣' '다진마늘' '올리브오일' '파마르산치즈' '소금, 후추' '다진마늘' '화이트와인' '새우' '스파게티면'
 '소금, 후추' '올리브오일']"
28,시금치들깨수제비,"['찹쌀가루' '밀가루' '들깨가루' '올리브유' '소금' '육수용 물' '육수용 무' '국물용 다시마' '국물용멸치'
 '육수용 대파' '시금치']"
29,단호박옥수수치즈구이,['슈레드 치즈(모짜렐라치즈)' '슬라이스치즈' '전분' '찐옥수수 알갱이' '무지개고추' '파프리카' '단호박']
30,감동젓무김치,"['낙지' '절인 배추' '고춧가루' '감동젓' '다진마늘' '다진생각' '설탕' '소급' '생굴' '실파' '미나리' '밤' '배'
 '무' '북어']"
31,보쌈김치,"['절인 배추' '생강' '잣' '대추' '굴' '낙지다리' '밤' '배' '미나리' '실파' '갓' '소금' '새우젓' '고춧가루'
 '마늘' '무' '석이버섯' '통깨' '생굴' '낙지' '액체육젓' '소금' '설탕' '배추' '무' '미나리' '갓' '실파'
 '배' '마늘' '생강' '밤' '은행' '고춧가루']"
32,시래기돼지갈비찜,"['돼지갈비' '시래기' '후추' '소금' '다진생강' '다진마늘' '다진양파' '다진파' '사과즙' '배즙' '청주' '간장'
 '다시마 우린 물' '고춧가루' '고추장']"
33,흑임자삼계죽,['양파' '대파' '참쌀' '인삼' '땅콩' '소금' '닭' '잣' '통후추' '대추' '볶은 흑임자(검은깨)']
34,한우토마토스튜,"['쇠고기(안심 또는 등심)' '소금' '양파' '감자' '당근' '홍피망, 청피망 각각' '양송이버섯' '후추, 식용유' '칠리'
 '다진 마늘' '물' '월계수 잎' '바질' '토마토페이스트' '토마토']"
35,시금치표고된장무른밥,['표고버섯' '감자' '아기된장소스' '양파' '당근' '멥쌀' '찹쌀' '시금치']
36,시금치배미음죽,['멥쌀' '찹쌀' '물(쇠고기육수)' '배' '시금치']
37,쌀샐러드,"['올리브오일' '후춧가루' '당근' '샐러리' '쌀' '화이트와인' '완두콩' '닭 육수' '이태리고추' '사라다나' '트레비소'
 '마늘' '로즈마리' '낙지' '이태리파슬리' '토마토' '파프리카' '차이브' '소금' '양파']"
