id,ingri,price,subscribe,bigcat,smallcat,imageurl,quantity,keyword
0,대용량 고사리 500g,"10,900원",든든하게 담은 국산 고사리,채소,,https://img-cf.kurly.com/shop/data/goods/1631082260989l0.jpg,500g,고사리
1,대용량 채 도라지 500g,"13,900원",말끔하게 손질된 국산 도라지,채소,,https://img-cf.kurly.com/shop/data/goods/1631081044724l0.jpg,500g,도라지
2,튀김용 왕고구마 1kg,"5,975원",남다른 크기의 국산 고구마,채소,,https://img-cf.kurly.com/shop/data/goods/1630994103237l0.jpg,1kg,고구마
3,[선물세트] 이슬송이 & 향표고 버섯 세트 (예약일 수령),"59,000원",향표고 500g 내외/ 이슬송이 500g 내외/ 국내산,채소,,https://img-cf.kurly.com/shop/data/goods/1628831380561l0.jpg,,버섯
4,오크라 200g,"5,990원",별모양의 건강채소,채소,,https://img-cf.kurly.com/shop/data/goods/1470136351528l0.jpg,200g,오크라
5,캘리포니아산 브로콜리 2입,"3,490원",부드럽고 아삭한 채소,채소,,https://img-cf.kurly.com/shop/data/goods/1629440502708l0.jpg,2입,브로콜리
6,[선물세트] 온담 정성담은 표고 흑화고 가루 세트,"29,900원","동고 25g X 2팩, 표고채 20g X 2팩, 흑화고 가루 50g X 2통",채소,,https://img-cf.kurly.com/shop/data/goods/1628755307614l0.jpg,,흑화고
7,[선물세트] 온담 정성담은 표고 핑크솔트 세트,"19,900원","동고 25g(국내산), 표고채 20g(국내산), 핑크솔트 200g(파키스탄산)",채소,,https://img-cf.kurly.com/shop/data/goods/1628755124477l0.jpg,,핑크솔트
8,실파 300g,"3,990원",가느다란 줄기에 담긴 은은함,채소,,https://img-cf.kurly.com/shop/data/goods/162796603634l0.jpg,300g,실파
9,캠핑용 감자&고구마 1.6kg,"9,990원",손쉽게 준비하는 캠핑간식,채소,,https://img-cf.kurly.com/shop/data/goods/1630384862904l0.jpg,1.6kg,감자&고구마
10,친환경 감자 2kg,"5,490원",근채류의 팔방미인,채소,,https://img-cf.kurly.com/shop/data/goods/153543279519l0.jpg,2kg,감자
11,영암 친환경 '햇' 꿀고구마 2kg,"17,900원",포실포실 달콤한 꿀고구마를 무농약으로 즐기세요,채소,,https://img-cf.kurly.com/shop/data/goods/1583195193809l0.jpg,2kg,꿀고구마
12,[KF365] 흙대파 1단,"2,480원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1593568688351l0.jpg,1단,흙대파
13,[KF365] 김구원선생 국내산 무농약 콩나물 300g,900원,"믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1617171550430l0.jpg,300g,콩나물
14,무농약 간편 샐러드 6종,"1,800원",내 마음대로 골라담고 세척되어 바로 먹을 수 있는 신선한 샐러드,채소,,https://img-cf.kurly.com/shop/data/goods/1470792312213l0.jpg,6종,샐러드
15,[KF365] 애호박 1개,"1,970원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1539841569718l0.jpg,1개,애호박
16,[KF365] 햇 양파 1.8kg,"3,480원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1583476232986l0.jpg,1.8kg,양파
17,[KF365] 청양고추 200g,"1,980원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1605245474833l0.jpg,200g,청양고추
18,[KF365] 파프리카 2입,"3,780원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1614675606603l0.jpg,2입,파프리카
19,[KF365] 청상추 150g,"3,100원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1540864600439l0.jpg,150g,청상추
20,[KF365] 적상추 150g,"3,100원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/154086569199l0.jpg,150g,적상추
21,[KF365] GAP 밀양 깻잎 3속,"1,090원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1580708666582l0.jpg,3속,깻잎
22,[KF365] 팽이버섯 2입,950원,"믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1624424111100l0.jpg,2입,팽이버섯
23,간편 스테이크용 가니쉬 모둠채소,"7,990원",한 팩에 쏙 담은 가니쉬용 채소와 허브,채소,,https://img-cf.kurly.com/shop/data/goods/1607391877690l0.jpg,모둠채소,모둠채소
24,구이용 모둠 버섯 200g,"2,390원",간편하게 누리는 쫄깃한 식감,채소,,https://img-cf.kurly.com/shop/data/goods/1616400779348l0.jpg,200g,버섯
25,홍감자 1kg,"4,490원",겉은 붉고 속은 노란 감자,채소,,https://img-cf.kurly.com/shop/data/goods/1626679053493l0.jpg,1kg,홍감자
26,노각오이 1개,"4,190원",남다른 크기와 수분을 품은 오이,채소,,https://img-cf.kurly.com/shop/data/goods/1626754054880l0.jpg,1개,노각오이
27,영암 '햇' 꿀 밤고구마 1.5kg,"9,919원",노란 속살에 배인 고소달콤함,채소,,https://img-cf.kurly.com/shop/data/goods/1626678498777l0.jpg,1.5kg,밤고구마
28,다진마늘 180g (냉동),"5,600원",간편하게 꺼내쓰는 깨끗한 마늘,채소,,https://img-cf.kurly.com/shop/data/goods/1621496165703l0.jpg,180g,다진마늘
29,[스마트팜産] 친환경 차이브 10g,"1,600원",친숙한듯 이색적인 향미의 허브,채소,,https://img-cf.kurly.com/shop/data/goods/1625733535658l0.jpg,10g,차이브
30,[스마트팜産] 친환경 이탈리안 파슬리 10g,"1,990원",다채롭게 활용하기 좋은 산뜻한 향미,채소,,https://img-cf.kurly.com/shop/data/goods/162857250194l0.jpg,10g,파슬리
31,[스마트팜産] 친환경 세이지 10g,"1,600원",짙은 향미 속 풍부한 영양,채소,,https://img-cf.kurly.com/shop/data/goods/1625733369774l0.jpg,10g,세이지
32,[스마트팜産] 친환경 차빌 10g,"1,600원",섬세한 향미 속 풍부한 영양,채소,,https://img-cf.kurly.com/shop/data/goods/1625728743227l0.jpg,10g,차빌
